token,amount,bankcharges,transfertype,fromaccnumber,fromname,toaccnumber,toname,remark
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000001,U MIN AUNG (SA-1),0020111000001,DAW A ME YU NAING (SN-212),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000002,DAW MU MU AYE (SA-46),0020111000002,DAW SAN MYINT YI (SY-73),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000003,U CHO (SC-2),0020111000003,DAW HTAR HTAR MYAT (SM-525),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000004,DAW KHIN MAR HTWE (SH-22),0020111000004,U KHIN ZAW WIN (SW-316),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000005,U THET HTUN (SH-67),0020111000005,DAW HTAY HTAY KHIN (SK-268),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000006,U KHIN MAUNG KYAW (SK-45),0020111000006,U SOE KHING (SK-269),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000007,DAW AYE AYE KYU (SK-90),0020111000007,DAW WAR WAR KHING (SK-270),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000008,DAW KHIN SAN LWIN (SL-35),0020111000008,U THAN HTUN (SH-369),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000009,U HLA MYINT (SM-24),0020111000009,DAW WINT WAR HTUN (SH-368),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000010,U KYAW MIN (SM-69),0020111000010,U MAW SI (SS-269),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000011,DAW AYE THIDAR MYINT (SM-115),0020111000011,DAW NWE NWE SOE (SS-268),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000012,U KYAW SWA MOE (SM-161),0020111000012,U THAN SWE (SS-267),jmTest
